layername,priority
input,0
stem,1000.0
dark2,1000.0
dark3,1000.0
dark4,1000.0
C3_p3,1000.0
dark5,1000.0
C3_p4,1000.0
lateral_conv0,1000.0
upsample_P5,1000.0
C3_n4,666.6666666666666
reduce_conv1,1000.0
upsample_P4,1000.0
C3_n3,666.6666666666666
bu_conv2,666.6666666666666
stems_0,1000.0
bu_conv1,666.6666666666666
stems_1,333.3333333333333
cls_convs_0,1000.0
reg_convs_0,888.8888888888889
cls_preds_0,1000.0
reg_preds_0,777.7777777777777
obj_preds_0,888.8888888888889
partial_out_0,1000.0
output_decode,1000.0
cls_convs_1,333.3333333333333
reg_convs_1,222.2222222222222
cls_preds_1,333.3333333333333
reg_preds_1,111.1111111111111
obj_preds_1,222.2222222222222
partial_out_1,333.3333333333333
stems_2,666.6666666666666
cls_convs_2,666.6666666666666
reg_convs_2,555.5555555555555
cls_preds_2,666.6666666666666
reg_preds_2,444.4444444444444
obj_preds_2,555.5555555555555
partial_out_2,666.6666666666666
output,1000
