layername,priority
input,0
stem,1000.0
dark2,1000.0
dark3,1000.0
dark4,1000.0
C3_p3,1000.0
dark5,1000.0
C3_p4,1000.0
lateral_conv0,1000.0
upsample_P5,1000.0
C3_n4,1000.0
reduce_conv1,1000.0
upsample_P4,1000.0
C3_n3,1000.0
bu_conv2,1000.0
stems_0,333.3333333333333
bu_conv1,1000.0
stems_1,666.6666666666666
cls_convs_0,111.1111111111111
reg_convs_0,333.3333333333333
cls_preds_0,111.1111111111111
reg_preds_0,222.2222222222222
obj_preds_0,333.3333333333333
partial_out_0,333.3333333333333
output_decode,1000.0
cls_convs_1,444.4444444444444
reg_convs_1,666.6666666666666
cls_preds_1,444.4444444444444
reg_preds_1,555.5555555555555
obj_preds_1,666.6666666666666
partial_out_1,666.6666666666666
stems_2,1000.0
cls_convs_2,1000.0
reg_convs_2,888.8888888888889
cls_preds_2,1000.0
reg_preds_2,888.8888888888889
obj_preds_2,777.7777777777777
partial_out_2,1000.0
output,1000
